,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,Hosp_rate,Hosp_rate.lci,Hosp_rate.uci,Hosp_Prob1,Hosp_Prob.lci,Hosp_Prob.uci,Hosp_Prob
146,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.005,0.003,0.008,0.004987521,0.002995504,0.007968085,0.5
147,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.012,0.006,0.022,0.011928287,0.005982036,0.021759765,1.19
148,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0.016,0.009,0.029,0.01587268,0.008959621,0.028583536,1.59
149,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0.007,0.004,0.012,0.006975557,0.003992011,0.011928287,0.7
150,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0.01,0.005,0.016,0.009950166,0.004987521,0.01587268,1
151,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0.024,0.012,0.044,0.02371429,0.011928287,0.043046043,2.37
152,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0.032,0.017,0.057,0.031493418,0.016856315,0.055405931,3.15
153,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.007,0.003,0.013,0.006975557,0.002995504,0.012915865,0.7
154,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0.009,0.005,0.016,0.008959621,0.004987521,0.01587268,0.9
155,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0.022,0.011,0.043,0.021759765,0.010939721,0.04208861,2.18
156,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0.03,0.015,0.058,0.029554466,0.01488806,0.056350053,2.96
157,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0.013,0.007,0.025,0.012915865,0.006975557,0.024690088,1.29
158,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0.018,0.009,0.032,0.017838968,0.008959621,0.031493418,1.78
159,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0.044,0.022,0.089,0.043046043,0.021759765,0.085154426,4.3
160,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0.06,0.029,0.114,0.058235466,0.028583536,0.107742044,5.82
161,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.004,0.002,0.008,0.003992011,0.001998001,0.007968085,0.4
162,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.005,0.003,0.01,0.004987521,0.002995504,0.009950166,0.5
