RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,est,lci,uci
0,1,0,0,0,0,0,1,0,1,6.414,4.541,9.372
0,1,0,0,0,0,0,1,1,0,5.669,4.002,8.205
0,1,0,0,0,0,0,1,1,1,6.329,4.471,9.346
0,1,0,0,0,0,1,0,0,0,4.008,1.678,10.035
0,1,0,0,0,0,1,0,0,1,4.492,1.848,10.863
0,1,0,0,0,0,1,0,1,0,3.972,1.661,9.753
0,1,0,0,0,0,1,0,1,1,4.456,1.844,10.96
0,1,0,0,0,0,1,1,0,0,11.956,4.641,30.103
0,1,0,0,0,0,1,1,0,1,13.431,5.129,34.293
0,1,0,0,0,0,1,1,1,0,11.893,4.618,29.762
0,1,0,0,0,0,1,1,1,1,13.296,5.071,33.924
0,1,0,0,0,1,0,0,0,0,2.854,2.469,3.29
0,1,0,0,0,1,0,0,0,1,3.199,2.762,3.716
0,1,0,0,0,1,0,0,1,0,2.819,2.432,3.268
0,1,0,0,0,1,0,0,1,1,3.155,2.719,3.685
0,1,0,0,0,1,0,1,0,0,8.483,5.973,12.212
0,1,0,0,0,1,0,1,0,1,9.519,6.692,13.906
0,1,0,0,0,1,0,1,1,0,8.369,5.944,12.005
0,1,0,0,0,1,0,1,1,1,9.408,6.589,13.732
0,1,0,0,0,1,1,0,0,0,5.948,2.486,14.868
0,1,0,0,0,1,1,0,0,1,6.698,2.779,16.356
0,1,0,0,0,1,1,0,1,0,5.895,2.493,14.445
0,1,0,0,0,1,1,0,1,1,6.606,2.768,16.034
0,1,0,0,0,1,1,1,0,0,17.671,6.786,44.924
0,1,0,0,0,1,1,1,0,1,19.888,7.714,50.799
0,1,0,0,0,1,1,1,1,0,17.482,6.652,43.91
0,1,0,0,0,1,1,1,1,1,19.632,7.623,49.816
0,1,0,0,1,0,0,0,0,0,4.819,4.04,5.758
0,1,0,0,1,0,0,0,0,1,5.405,4.428,6.505
0,1,0,0,1,0,0,0,1,0,4.755,3.909,5.687
0,1,0,0,1,0,0,0,1,1,5.333,4.331,6.443
0,1,0,0,1,0,0,1,0,0,14.25,9.895,20.861
0,1,0,0,1,0,0,1,0,1,15.99,11.173,23.57
0,1,0,0,1,0,0,1,1,0,14.076,9.725,20.888
0,1,0,0,1,0,0,1,1,1,15.772,11.036,23.016
0,1,0,0,1,0,1,0,0,0,10.136,4.165,25.113
0,1,0,0,1,0,1,0,0,1,11.342,4.677,27.898
0,1,0,0,1,0,1,0,1,0,9.982,4.123,24.56
0,1,0,0,1,0,1,0,1,1,11.167,4.65,27.164
0,1,0,0,1,0,1,1,0,0,29.706,11.835,76.709
0,1,0,0,1,0,1,1,0,1,33.031,13.444,85.978
0,1,0,0,1,0,1,1,1,0,29.305,11.744,75.683
0,1,0,0,1,0,1,1,1,1,32.811,13.255,84.565
0,1,0,0,1,1,0,0,0,0,7.114,5.882,8.647
0,1,0,0,1,1,0,0,0,1,7.977,6.491,9.834
0,1,0,0,1,1,0,0,1,0,7.032,5.779,8.553
0,1,0,0,1,1,0,0,1,1,7.868,6.402,9.748
0,1,0,0,1,1,0,1,0,0,21.272,14.708,30.729
0,1,0,0,1,1,0,1,0,1,23.732,16.308,34.633
0,1,0,0,1,1,0,1,1,0,20.994,14.336,30.569
0,1,0,0,1,1,0,1,1,1,23.43,16.174,34.516
0,1,0,0,1,1,1,0,0,0,14.998,6.099,37.156
0,1,0,0,1,1,1,0,0,1,16.915,6.828,40.986
0,1,0,0,1,1,1,0,1,0,14.799,6.028,36.125
0,1,0,0,1,1,1,0,1,1,16.626,6.802,39.858
0,1,0,0,1,1,1,1,0,0,43.99,17.64,116.187
0,1,0,0,1,1,1,1,0,1,48.867,19.401,128.197
0,1,0,0,1,1,1,1,1,0,43.596,17.453,113.244
0,1,0,0,1,1,1,1,1,1,48.473,19.051,126.78
0,1,0,1,0,0,0,0,0,0,3.208,2.251,4.546
0,1,0,1,0,0,0,0,0,1,3.594,2.51,5.115
0,1,0,1,0,0,0,0,1,0,3.162,2.22,4.541
0,1,0,1,0,0,0,0,1,1,3.539,2.476,5.108
0,1,0,1,0,0,0,1,0,0,9.627,5.907,15.353
0,1,0,1,0,0,0,1,0,1,10.729,6.6,17.332
0,1,0,1,0,0,0,1,1,0,9.516,5.849,15.224
0,1,0,1,0,0,0,1,1,1,10.594,6.489,17.111
0,1,0,1,0,0,1,0,0,0,6.678,2.524,17.224
0,1,0,1,0,0,1,0,0,1,7.48,2.832,19.306
0,1,0,1,0,0,1,0,1,0,6.59,2.486,17.302
0,1,0,1,0,0,1,0,1,1,7.422,2.809,19.098
0,1,0,1,0,0,1,1,0,0,19.762,7.219,54.878
0,1,0,1,0,0,1,1,0,1,22.17,7.863,61.535
0,1,0,1,0,0,1,1,1,0,19.37,7.184,53.924
0,1,0,1,0,0,1,1,1,1,21.976,7.887,60.706
0,1,0,1,0,1,0,0,0,0,4.785,3.312,6.739
0,1,0,1,0,1,0,0,0,1,5.346,3.667,7.514
0,1,0,1,0,1,0,0,1,0,4.706,3.244,6.664
0,1,0,1,0,1,0,0,1,1,5.266,3.623,7.497
0,1,0,1,0,1,0,1,0,0,14.346,8.627,22.951
0,1,0,1,0,1,0,1,0,1,15.952,9.697,25.843
0,1,0,1,0,1,0,1,1,0,14.138,8.53,22.503
0,1,0,1,0,1,0,1,1,1,15.752,9.623,25.604
0,1,0,1,0,1,1,0,0,0,9.901,3.697,26.005
0,1,0,1,0,1,1,0,0,1,11.143,4.152,29.257
0,1,0,1,0,1,1,0,1,0,9.843,3.662,25.624
0,1,0,1,0,1,1,0,1,1,11.038,4.111,28.654
0,1,0,1,0,1,1,1,0,0,29.559,10.536,80.931
0,1,0,1,0,1,1,1,0,1,33.096,11.67,92.068
0,1,0,1,0,1,1,1,1,0,29.085,10.426,79.541
0,1,0,1,0,1,1,1,1,1,32.909,11.563,91.588
0,1,0,1,1,0,0,0,0,0,7.983,5.464,11.467
0,1,0,1,1,0,0,0,0,1,8.959,6.097,12.967
0,1,0,1,1,0,0,0,1,0,7.877,5.403,11.34
0,1,0,1,1,0,0,0,1,1,8.864,6.046,12.815
0,1,0,1,1,0,0,1,0,0,24.178,14.214,38.011
0,1,0,1,1,0,0,1,0,1,26.962,15.781,43.26
0,1,0,1,1,0,0,1,1,0,23.741,14.073,37.466
0,1,0,1,1,0,0,1,1,1,26.659,15.499,42.518
0,1,0,1,1,0,1,0,0,0,16.612,6.391,44.523
0,1,0,1,1,0,1,0,0,1,18.508,6.971,49.192
0,1,0,1,1,0,1,0,1,0,16.419,6.332,43.025
0,1,0,1,1,0,1,0,1,1,18.286,6.913,48.268
0,1,0,1,1,0,1,1,0,0,49.256,17.805,136.416
0,1,0,1,1,0,1,1,0,1,55.539,19.395,149.011
0,1,0,1,1,0,1,1,1,0,48.765,17.597,133.406
0,1,0,1,1,0,1,1,1,1,54.724,19.215,147.552
0,1,0,1,1,1,0,0,0,0,11.874,8.098,17.152
0,1,0,1,1,1,0,0,0,1,13.233,9.051,19.281
0,1,0,1,1,1,0,0,1,0,11.687,8.002,16.814
0,1,0,1,1,1,0,0,1,1,13.074,8.899,19.134
0,1,0,1,1,1,0,1,0,0,35.744,21.141,56.435
0,1,0,1,1,1,0,1,0,1,40.135,23.475,63.837
0,1,0,1,1,1,0,1,1,0,35.371,20.887,55.445
0,1,0,1,1,1,0,1,1,1,39.581,23.295,62.555
0,1,0,1,1,1,1,0,0,0,24.511,9.308,65.551
0,1,0,1,1,1,1,0,0,1,27.5,10.378,73.205
0,1,0,1,1,1,1,0,1,0,24.355,9.166,64.134
0,1,0,1,1,1,1,0,1,1,27.153,10.249,71.835
0,1,0,1,1,1,1,1,0,0,72.823,26.49,201.657
0,1,0,1,1,1,1,1,0,1,81.823,29.364,224.178
0,1,0,1,1,1,1,1,1,0,72.322,25.861,199.518
0,1,0,1,1,1,1,1,1,1,81.569,29.01,221.45
0,1,1,0,0,0,0,0,0,0,1.844,1.485,2.287
0,1,1,0,0,0,0,0,0,1,2.067,1.662,2.586
0,1,1,0,0,0,0,0,1,0,1.902,1.663,2.18
0,1,1,0,0,0,0,0,1,1,2.131,1.846,2.46
0,1,1,0,0,0,0,1,0,0,5.42,3.721,8.197
0,1,1,0,0,0,0,1,0,1,6.116,4.194,9.353
0,1,1,0,0,0,0,1,1,0,5.669,4.002,8.205
0,1,1,0,0,0,0,1,1,1,6.329,4.471,9.346
0,1,1,0,0,0,1,0,0,0,3.843,1.55,9.836
0,1,1,0,0,0,1,0,0,1,4.322,1.739,10.763
0,1,1,0,0,0,1,0,1,0,3.972,1.661,9.753
0,1,1,0,0,0,1,0,1,1,4.456,1.844,10.96
0,1,1,0,0,0,1,1,0,0,11.452,4.43,30.06
0,1,1,0,0,0,1,1,0,1,12.813,4.81,32.973
0,1,1,0,0,0,1,1,1,0,11.893,4.618,29.762
0,1,1,0,0,0,1,1,1,1,13.296,5.071,33.924
0,1,1,0,0,1,0,0,0,0,2.736,2.198,3.39
0,1,1,0,0,1,0,0,0,1,3.073,2.425,3.8
0,1,1,0,0,1,0,0,1,0,2.819,2.432,3.268
0,1,1,0,0,1,0,0,1,1,3.155,2.719,3.685
0,1,1,0,0,1,0,1,0,0,8.12,5.544,12.226
0,1,1,0,0,1,0,1,0,1,9.026,6.183,13.749
0,1,1,0,0,1,0,1,1,0,8.369,5.944,12.005
0,1,1,0,0,1,0,1,1,1,9.408,6.589,13.732
0,1,1,0,0,1,1,0,0,0,5.734,2.346,14.343
0,1,1,0,0,1,1,0,0,1,6.407,2.605,15.976
0,1,1,0,0,1,1,0,1,0,5.895,2.493,14.445
0,1,1,0,0,1,1,0,1,1,6.606,2.768,16.034
0,1,1,0,0,1,1,1,0,0,16.998,6.479,44.405
0,1,1,0,0,1,1,1,0,1,19.025,7.257,50.378
0,1,1,0,0,1,1,1,1,0,17.482,6.652,43.91
0,1,1,0,0,1,1,1,1,1,19.632,7.623,49.816
0,1,1,0,1,0,0,0,0,0,4.583,3.55,5.817
0,1,1,0,1,0,0,0,0,1,5.147,3.935,6.593
0,1,1,0,1,0,0,0,1,0,4.755,3.909,5.687
0,1,1,0,1,0,0,0,1,1,5.333,4.331,6.443
0,1,1,0,1,0,0,1,0,0,13.564,9.102,20.697
0,1,1,0,1,0,0,1,0,1,15.16,10.22,23.117
0,1,1,0,1,0,0,1,1,0,14.076,9.725,20.888
0,1,1,0,1,0,0,1,1,1,15.772,11.036,23.016
0,1,1,0,1,0,1,0,0,0,9.616,3.939,24.241
0,1,1,0,1,0,1,0,0,1,10.825,4.389,26.426
0,1,1,0,1,0,1,0,1,0,9.982,4.123,24.56
0,1,1,0,1,0,1,0,1,1,11.167,4.65,27.164
0,1,1,0,1,0,1,1,0,0,28.674,10.675,77.265
0,1,1,0,1,0,1,1,0,1,32.007,11.889,86.04
