,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,est,lci,uci
246,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,9.079,5.095,16.056
247,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,22.137,13.286,36.89
248,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,29.554,16.069,58.398
249,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,6.294,3.714,10.209
250,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,8.444,4.489,16.161
251,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,20.612,11.185,38.056
252,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,27.672,13.91,56.014
253,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,12.532,7.445,20.639
254,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,16.691,8.837,32.615
255,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,41.309,22.132,75.61
256,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,54.94,27.605,114.113
257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.078,1.496,2.881
258,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.798,1.655,4.569
259,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.917,4.374,10.581
260,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,9.225,4.931,16.893
261,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.143,2.969,5.768
262,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5.569,3.284,9.205
263,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,13.694,8.603,21.484
264,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,18.349,9.898,33.865
265,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.842,2.482,6.031
266,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5.193,2.829,9.537
267,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,12.839,7.277,21.298
268,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,17.311,8.2,33.088
269,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,7.673,4.903,12.107
270,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,10.356,5.719,18.96
271,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,25.569,14.406,43.312
272,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,34.27,16.35,66.477
273,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.917,2.038,4.071
274,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3.955,2.274,6.5
275,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,9.678,5.921,14.817
276,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,12.882,6.892,23.401
277,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5.793,4.077,8.186
278,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,7.853,4.531,12.982
279,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,19.259,11.86,30.139
280,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,25.663,13.779,46.984
281,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5.394,3.49,8.585
282,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,7.314,3.945,13.505
283,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,18.025,9.854,29.98
284,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,24.436,11.471,46.381
285,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,10.789,6.798,17.303
286,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,14.6,7.92,26.665
287,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,35.965,19.632,60.572
288,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,48.555,22.583,92.629
289,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.198,1.884,5.281
290,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4.292,2.283,8.044
291,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,10.745,5.702,19.637
292,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,14.291,6.931,28.504
293,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6.435,3.701,10.503
294,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,8.584,4.506,16.121
295,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,21.394,11.17,39.745
296,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,28.484,13.642,56.876
297,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5.992,3.229,10.699
298,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,8.046,3.97,16.155
299,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,19.772,9.793,37.855
300,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,26.628,11.95,54.459
301,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,11.973,6.38,21.256
302,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,16.063,7.751,32.883
303,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,39.331,19.378,76.694
304,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,52.693,23.545,110.396
305,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4.501,2.594,7.42
306,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,6.09,3.21,11.52
307,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,15.132,7.996,27.746
308,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,20.127,9.593,40.635
309,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,8.967,5.199,14.831
310,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,12.116,6.311,23.017
